Mixture,Myo,Luminal,Naive B,CD8_Naive,CD4_Naive,CD8_CM,CD4_CM,CD4_EM,CD8_EM,Plasmacytoid Dendritic,gdT,Treg,CD8_TEMRA,Macrophages,Basophils,Neutrophils,MAIT,Plasma B,Myeloid Dendritic,CAF,P-value,Correlation,RMSE
P_01,0.444201731722912,0.210021398709442,0.0195729263112385,0,0.0555557238566496,0,0,0.00698966023879482,0,0.0232784896245306,0,0.0116965943529844,0.0402214408696086,0.0291254371351258,0,0,0.0109571416683493,0.0188933939463174,0,0.129486061564047,0,0.953627631890569,0.451817807294356
P_02,0.288943133327851,0.269138045305299,0.0299565529236441,0,0.00509227065702597,0,0,0.00450513301981852,0.000763405591743938,0.0371743611109853,0,0.0219798277907532,0.0317946242800824,0.0693067029781042,0.000246958108116628,0.00275684062511664,0.0156041090370225,0.0415088709926837,0,0.181229164251754,0,0.91473080361081,0.516103705222107
P_03,0.208785336348133,0.29369598719137,0.0203334370743025,0,0.056448219847409,0,0,0.00660194498402264,0.00348284966453995,0.0400766099996786,0,0.00609239177652308,0.0158019728416803,0.0210229278017943,0.000799753496505637,0,0.0141420349308023,0.00626967479068433,0,0.306446859252555,0,0.950513413875846,0.464970886747579
P_04,0.673058890186253,0.16200773762122,0,0,0.0192125552007181,0,0.0245922528846447,0,0.0113239317744051,0.0390296983074951,0,0.00204417684262148,0.00755909812480448,0,3.61836558901588e-05,0,0.0128038681674033,0.00256351400356693,0.00445446914914072,0.0413136240818366,0,0.929063772666011,0.433679264721307
P_05,0.234266351389231,0.31710266122213,0.0945487441473204,0.0371722788420577,0.0510521413856307,0,0,0.00531114528179186,0,0.0310645244651169,0,0.0786306718252053,0.0660712273738175,0.00979940552761681,0,0,0.0231492962262616,0.0371861080960038,0,0.0146454442178162,0,0.786983365434055,0.648683136720323
P_06,0.607430709455056,0.0642759688681978,0.024790708059317,0,0.0670374859555513,0,0,0.0317599904786456,0.00136618375159955,0.0122449256778398,0,0.0111916696592763,0.0408123291867926,0.0373946324397863,0,0,0.0215059512552028,0.00928939410869159,0.00501746416102497,0.0658825869430182,0,0.924917382836826,0.484519645173886
P_07,0.248205192320079,0.179939726904779,0.0323752030809757,0.00659516924133312,0,0,0.0786773561376267,0,0,0,0,0.00842820177363436,0.143833034482643,0.123460452131832,0,0,0.0585386670537397,0,0.00124389726820931,0.118703099605148,0,0.781832370680398,0.665048268985345
P_08,0.498455674871685,0.186064646854495,0.00237281555896359,0,0.0699842141127049,0,0,0.0366041271357236,0,0.0356103818429656,0,0.00733701384970523,0.0283117785888895,0.0139113493110162,0,0,0.00728340802763543,0.0490698413424969,0,0.0649947485037187,0,0.861090355486197,0.560778365107007
P_09,0.393371584360709,0.372498448445119,0.0171286958435378,0,0.000196843125144467,0,0,0.0310826841295732,0,0.0159528305448078,0,0.0342102318484482,0.0475078399315272,0.00517415009656697,0,0,0.0120722286019234,0.00975351920314651,0,0.0610509438694963,0,0.838149398374166,0.574628780457927
P_10,0.529701251849178,0.291680790441994,0.00475436756623466,0,0.0476912699394687,0,0,0.0286870098158585,0,0.00321034594444215,0,0.00549986407536993,0.0296848748481334,0.0116638022327169,0,0,0.00981590689484953,0.00892722297468739,0,0.0286832934170665,0,0.831894489615364,0.572793903900479
P_11,0.73419888497379,0.130710380522414,0.0131492253703667,0,0.00436297448528363,0,0,0.0106605285573998,0,0.00627038829078266,0,0.0132317263376943,0.0162071888152128,0.0224414236971382,0,0,0.00535519577760884,0.0126028482779326,0.00230185792924304,0.0285073769651333,0,0.965034630849972,0.357573302661814
P_12,0.341940445910214,0.381647686958438,0.0256610872782753,0,0.0779329182848262,0,0,0.00531630938844661,0.00914489609228775,0.00878921250695332,0,0.0215859766766104,0.0197316846938025,0.0254827879416851,0,0,0.0209857667966645,0.00722993974395716,0,0.0545512877278394,0,0.917798737295671,0.48310517793937
