"cell_type"	"microenviroment"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal LN"	"LN"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Myo pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"Luminal pri"	"pri"
"CD8_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_CM LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_Naive LN"	"LN"
"CD8_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_Naive LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_EM LN"	"LN"
"CD4_EM LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_EM LN"	"LN"
"gdT LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_CM LN"	"LN"
"Treg LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_EM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD8_Naive LN"	"LN"
"CD8_TEMRA LN"	"LN"
"Treg LN"	"LN"
"Treg LN"	"LN"
"Treg LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"Treg LN"	"LN"
"CD4_EM LN"	"LN"
"CD8_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"Treg LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"gdT LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD4_CM LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_Naive LN"	"LN"
"CD4_Naive LN"	"LN"
"CD8_Naive LN"	"LN"
