gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Basophils LN	Basophils pri	CAF LN	CAF pri	CD8+ NKT-like LN	CD8+ NKT-like pri	Effector CD8+ T LN	Effector CD8+ T pri	Luminal LN	Luminal pri	Macrophages LN	Macrophages pri	Myeloid Dendritic LN	Myo LN	Myo pri	Naive B LN	Naive B pri	Naive CD4+ T LN	Naive CD4+ T pri	Neutrophils LN	Neutrophils pri	Plasma B LN	Plasma B pri	Plasmacytoid Dendritic LN	Plasmacytoid Dendritic pri
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	8.217	0.0	0.034	0.216	0.711	1.26	1.084	0.76	6.448	4.829	0.0	0.868	0.486	1.888	2.013	0.12	0.0	1.039	0.616	0.0	0.0	0.263	1.105	1.727	0.726
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	8.217	0.0	0.034	0.216	0.711	1.26	1.084	0.76	6.448	4.829	0.0	0.868	0.486	1.888	2.013	0.12	0.0	1.039	0.616	0.0	0.0	0.263	1.105	1.727	0.726
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.0	0.0	3.017	2.712	0.0	0.091	0.0	0.009	2.792	2.774	3.634	1.064	0.725	1.947	2.281	0.0	0.0	0.051	0.01	0.0	0.065	0.0	0.0	0.601	0.552
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.0	0.0	3.017	2.712	0.0	0.091	0.0	0.009	2.792	2.774	3.634	1.064	0.725	1.947	2.281	0.0	0.0	0.051	0.01	0.0	0.065	0.0	0.0	0.601	0.552
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	0.0	0.053	0.0	0.251	0.0	0.0	0.0	0.0	0.106	0.071	0.0	0.0	0.0	0.652	0.135	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.261	0.0	0.0
CYP11A1	P05108	True	CP11A_HUMAN	Pregnenolone_byCYP11A1	CPI-CS06A285DD6	0.0	0.0	0.0	0.251	0.0	0.0	0.0	0.0	0.106	0.071	0.0	0.0	0.0	0.0	0.135	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP3A4	P08684	True	CP3A4_HUMAN	22Hydroxycholesterol_byCYP3A4	CPI-CS01C347639	0.0	0.192	0.0	0.029	0.0	0.084	0.0	0.0	0.032	0.056	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.041	0.0	0.0	0.0	0.0	0.0	0.0	0.03
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.0	0.0	0.545	0.362	0.084	0.037	0.0	0.011	1.219	0.507	0.0	0.396	0.0	0.504	0.135	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.096	0.356
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.0	0.0	0.545	0.362	0.084	0.037	0.0	0.011	1.219	0.507	0.0	0.396	0.0	0.504	0.135	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.096	0.356
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.0	0.0	0.545	0.362	0.084	0.037	0.0	0.011	1.219	0.507	0.0	0.396	0.0	0.504	0.135	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.096	0.356
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.0	1.399	0.732	0.858	0.787	1.061	0.57	0.499	1.934	1.712	2.478	5.546	0.773	1.911	1.227	0.333	1.814	0.742	0.832	0.0	0.319	0.248	0.869	1.936	4.918
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	0.0	1.399	0.732	0.858	0.787	1.061	0.57	0.499	1.934	1.712	2.478	5.546	0.773	1.911	1.227	0.333	1.814	0.742	0.832	0.0	0.319	0.248	0.869	1.936	4.918
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	0.0	1.399	0.732	0.858	0.787	1.061	0.57	0.499	1.934	1.712	2.478	5.546	0.773	1.911	1.227	0.333	1.814	0.742	0.832	0.0	0.319	0.248	0.869	1.936	4.918
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	0.0	2.664	0.0	0.014	0.0	0.104	0.0	0.011	0.0	0.011	2.124	1.339	0.259	0.0	0.018	0.197	0.0	0.027	0.0	0.0	0.41	0.0	0.508	0.0	1.333
