gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	CAF LN	CAF pri	CD4_CM LN	CD4_CM pri	CD4_EM LN	CD4_EM pri	CD4_Naive LN	CD4_Naive pri	CD8_CM LN	CD8_CM pri	CD8_EM LN	CD8_EM pri	CD8_Naive LN	CD8_Naive pri	CD8_TEMRA LN	CD8_TEMRA pri	Luminal LN	Luminal pri	MAIT pri	Myo LN	Myo pri	Treg LN	Treg pri	gdT LN	gdT pri
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	0.034	0.216	1.065	0.392	0.0	1.488	1.326	0.0	1.712	0.808	0.958	0.667	1.009	1.632	0.291	1.048	6.448	4.829	0.875	1.888	2.013	0.0	0.419	0.0	0.964
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	0.034	0.216	1.065	0.392	0.0	1.488	1.326	0.0	1.712	0.808	0.958	0.667	1.009	1.632	0.291	1.048	6.448	4.829	0.875	1.888	2.013	0.0	0.419	0.0	0.964
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	3.017	2.712	0.145	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.162	0.0	0.0	0.0	0.0	2.792	2.774	0.0	1.947	2.281	0.0	0.021	0.0	0.525
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	3.017	2.712	0.145	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.162	0.0	0.0	0.0	0.0	2.792	2.774	0.0	1.947	2.281	0.0	0.021	0.0	0.525
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	0.0	0.251	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.071	0.0	0.652	0.135	0.0	0.0	0.0	0.0
CYP11A1	P05108	True	CP11A_HUMAN	Pregnenolone_byCYP11A1	CPI-CS06A285DD6	0.0	0.251	0.064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.071	0.0	0.0	0.135	0.0	0.0	0.0	0.0
CYP3A4	P08684	True	CP3A4_HUMAN	22Hydroxycholesterol_byCYP3A4	CPI-CS01C347639	0.0	0.029	0.0	0.105	0.0	0.031	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.032	0.056	0.0	0.0	0.024	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	0.545	0.362	0.0	0.034	0.0	0.0	0.124	0.0	0.0	0.0	0.282	0.061	0.0	0.0	0.0	0.044	1.219	0.507	0.0	0.504	0.135	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	0.545	0.362	0.0	0.034	0.0	0.0	0.124	0.0	0.0	0.0	0.282	0.061	0.0	0.0	0.0	0.044	1.219	0.507	0.0	0.504	0.135	0.0	0.0	0.0	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	0.545	0.362	0.0	0.034	0.0	0.0	0.124	0.0	0.0	0.0	0.282	0.061	0.0	0.0	0.0	0.044	1.219	0.507	0.0	0.504	0.135	0.0	0.0	0.0	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	0.732	0.858	0.881	0.891	0.0	0.979	0.72	0.717	0.0	0.501	0.766	0.949	1.441	1.229	0.668	0.657	1.934	1.712	0.635	1.911	1.227	0.0	0.404	0.0	0.719
