lr_pair,cell_types,means,common_in_patients,direction
SEMA3A-NRP1,pan.dCAF pri-Macrophages pri,3.0512,4,CAF->immune
SEMA3A-NRP1,pan.pCAF pri-Macrophages pri,3.90625,4,CAF->immune
SEMA4A-PLXND1,Macrophages pri-pan.myCAF pri,3.892,4,immune->CAF
SEMA4A-PLXND1,Myeloid Dendritic pri-pan.myCAF pri,4.3224,4,immune->CAF
SIRPA-CD47,Macrophages pri-pan.dCAF pri,3.2526,4,immune->CAF
Testosterone-byHSD17B12-AR,Macrophages pri-pan.iCAF pri,1.9142,5,immune->CAF
Testosterone-byHSD17B12-AR,Macrophages pri-pan.pCAF pri,2.1445,4,immune->CAF
TGFB2-TGFbeta-receptor1,pan.dCAF pri-Macrophages pri,1.5422,4,CAF->immune
TGFB3-TGFbeta-receptor1,pan.dCAF pri-Macrophages pri,4.5544,5,CAF->immune
TGFB3-TGFbeta-receptor1,pan.dCAF pri-Myeloid Dendritic pri,3.1364,4,CAF->immune
TGFB3-TGFbeta-receptor1,pan.pCAF pri-Macrophages pri,4.10525,4,CAF->immune
THY1-ADGRE2,pan.dCAF pri-Myeloid Dendritic pri,5.709,5,CAF->immune
THY1-ADGRE2,pan.iCAF pri-Myeloid Dendritic pri,4.4778,5,CAF->immune
THY1-ADGRE2,pan.myCAF pri-Myeloid Dendritic pri,4.739,5,CAF->immune
THY1-ADGRE2,pan.pCAF pri-Myeloid Dendritic pri,6.1105,4,CAF->immune
THY1-ADGRE5,pan.dCAF pri-Macrophages pri,5.6974,5,CAF->immune
THY1-ADGRE5,pan.dCAF pri-Myeloid Dendritic pri,6.4434,5,CAF->immune
THY1-ADGRE5,pan.pCAF pri-Macrophages pri,6.0195,4,CAF->immune
THY1-ADGRE5,pan.pCAF pri-Myeloid Dendritic pri,6.742,4,CAF->immune
THY1-integrin-aMb2-complex,pan.dCAF pri-Macrophages pri,6.5422,5,CAF->immune
THY1-integrin-aMb2-complex,pan.dCAF pri-Myeloid Dendritic pri,6.0408,5,CAF->immune
THY1-integrin-aMb2-complex,pan.iCAF pri-Macrophages pri,5.311,5,CAF->immune
THY1-integrin-aMb2-complex,pan.iCAF pri-Myeloid Dendritic pri,4.809,5,CAF->immune
THY1-integrin-aMb2-complex,pan.myCAF pri-Macrophages pri,5.572,5,CAF->immune
THY1-integrin-aMb2-complex,pan.myCAF pri-Myeloid Dendritic pri,5.0704,5,CAF->immune
THY1-integrin-aMb2-complex,pan.pCAF pri-Macrophages pri,6.97375,4,CAF->immune
THY1-integrin-aMb2-complex,pan.pCAF pri-Myeloid Dendritic pri,6.571,4,CAF->immune
THY1-integrin-aXb2-complex,pan.dCAF pri-Macrophages pri,6.6796,5,CAF->immune
THY1-integrin-aXb2-complex,pan.dCAF pri-Myeloid Dendritic pri,6.8308,5,CAF->immune
THY1-integrin-aXb2-complex,pan.iCAF pri-Macrophages pri,5.4482,5,CAF->immune
THY1-integrin-aXb2-complex,pan.iCAF pri-Myeloid Dendritic pri,5.5996,5,CAF->immune
THY1-integrin-aXb2-complex,pan.myCAF pri-Macrophages pri,5.709,5,CAF->immune
THY1-integrin-aXb2-complex,pan.myCAF pri-Myeloid Dendritic pri,5.8606,5,CAF->immune
THY1-integrin-aXb2-complex,pan.pCAF pri-Macrophages pri,7.05775,4,CAF->immune
THY1-integrin-aXb2-complex,pan.pCAF pri-Myeloid Dendritic pri,7.386,4,CAF->immune
TNC-integrin-a4b1-complex,pan.pCAF pri-Myeloid Dendritic pri,4.23425,4,CAF->immune
TNFSF12-TNFRSF12A,Myeloid Dendritic pri-pan.dCAF pri,3.053,4,immune->CAF
TNFSF12-TNFRSF12A,Myeloid Dendritic pri-pan.pCAF pri,3.68375,4,immune->CAF
TYROBP-CD44,Macrophages pri-pan.dCAF pri,8.4166,5,immune->CAF
TYROBP-CD44,Macrophages pri-pan.iCAF pri,8.5918,5,immune->CAF
TYROBP-CD44,Macrophages pri-pan.myCAF pri,8.6338,5,immune->CAF
TYROBP-CD44,Macrophages pri-pan.pCAF pri,8.83675,4,immune->CAF
TYROBP-CD44,Myeloid Dendritic pri-pan.dCAF pri,8.1548,4,immune->CAF
TYROBP-CD44,Myeloid Dendritic pri-pan.iCAF pri,8.3302,5,immune->CAF
TYROBP-CD44,Myeloid Dendritic pri-pan.myCAF pri,8.3724,5,immune->CAF
TYROBP-CD44,Myeloid Dendritic pri-pan.pCAF pri,8.5195,4,immune->CAF
VCAM1-integrin-a4b1-complex,pan.dCAF pri-Myeloid Dendritic pri,2.9994,4,CAF->immune
VCAM1-integrin-a4b1-complex,pan.pCAF pri-Myeloid Dendritic pri,3.6685,4,CAF->immune
VEGFA-NRP1,Myeloid Dendritic pri-pan.dCAF pri,3.0784,4,immune->CAF
VEGFA-NRP1,Myeloid Dendritic pri-pan.myCAF pri,3.2218,4,immune->CAF
VEGFA-NRP1,Myeloid Dendritic pri-pan.pCAF pri,3.90925,4,immune->CAF
VEGFB-FLT1,pan.dCAF pri-Myeloid Dendritic pri,1.1408,4,CAF->immune
VEGFB-NRP1,pan.dCAF pri-Macrophages pri,4.211,5,CAF->immune
VSIR-HLA E,Myeloid Dendritic pri-pan.dCAF pri,8.1724,4,immune->CAF
VSIR-HLA E,Myeloid Dendritic pri-pan.pCAF pri,8.55825,4,immune->CAF
VSIR-HLA F,Myeloid Dendritic pri-pan.dCAF pri,5.4624,5,immune->CAF
VSIR-HLA F,Myeloid Dendritic pri-pan.myCAF pri,6.2946,5,immune->CAF
VSIR-HLA F,Myeloid Dendritic pri-pan.pCAF pri,5.55275,4,immune->CAF
WNT2B-FRZB,Myeloid Dendritic pri-pan.myCAF pri,4.5304,5,immune->CAF
WNT2B-SFRP1,Myeloid Dendritic pri-pan.iCAF pri,2.213,4,immune->CAF
WNT2B-SFRP2,Myeloid Dendritic pri-pan.dCAF pri,5.518,5,immune->CAF
WNT2B-SFRP2,Myeloid Dendritic pri-pan.pCAF pri,4.6825,4,immune->CAF
WNT2B-SFRP4,Myeloid Dendritic pri-pan.dCAF pri,3.2292,5,immune->CAF
WNT2B-SFRP4,Myeloid Dendritic pri-pan.pCAF pri,2.889,4,immune->CAF
